ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
2905,4,2,2,1,136,1,0,1,45,1447,1
2906,0,2,0,2,108,2,1,0,19,1624,1
2907,1,2,1,1,42,0,2,0,45,420,1
2908,2,2,1,3,58,0,1,1,28,15,1
2909,4,2,2,2,148,0,1,1,16,1617,1
2910,3,2,1,1,48,1,2,0,47,837,1
2911,4,2,1,3,178,1,2,1,18,1587,1
2912,0,2,1,1,86,1,1,0,53,2105,1
2913,1,2,4,0,154,3,1,0,52,1737,1
2914,2,2,2,3,111,0,2,0,13,1511,1
2915,4,2,1,3,146,1,0,1,53,1552,1
2916,3,2,3,0,58,0,1,1,36,650,1
2917,4,2,2,3,80,1,2,1,52,454,1
2918,0,2,1,4,156,1,1,1,17,1947,1
2919,1,2,2,0,51,1,2,1,31,645,1
2920,2,2,3,2,61,2,1,1,0,297,1
2921,4,2,1,0,161,0,2,1,36,1835,1
2922,3,2,2,2,76,1,2,0,5,255,1
2923,4,2,2,2,38,1,0,0,21,609,1
2924,0,2,0,1,56,2,1,0,47,208,1
2925,1,2,1,0,65,1,1,0,56,883,1
2926,2,2,1,0,173,1,1,1,46,1565,1
2927,4,2,0,2,68,0,2,1,63,668,1
2928,3,2,3,2,18,4,2,0,59,722,1
2929,4,2,4,4,117,4,1,1,6,1371,1
2930,0,2,2,3,159,1,2,0,59,1420,1
2931,1,2,1,2,39,1,2,0,27,319,1
2932,2,2,1,1,59,1,2,0,6,418,1
2933,4,2,4,2,177,2,2,0,31,1273,1
2934,3,2,2,2,39,1,1,0,14,7,1
2935,4,2,2,3,74,1,1,1,28,184,1
2936,0,2,4,3,42,3,2,0,14,177,1
2937,1,2,1,1,117,2,1,1,52,1827,1
2938,2,2,2,4,60,3,0,0,54,599,1
2939,4,2,1,0,43,0,1,1,46,235,1
2940,3,2,1,0,167,1,2,1,5,1376,1
2941,4,2,0,2,64,2,1,0,52,820,1
2942,0,2,1,2,52,0,1,1,38,389,1
2943,1,2,2,2,163,1,0,1,44,1989,1
2944,2,2,3,3,177,1,1,0,59,1759,1
2945,4,2,1,1,116,1,2,0,8,1269,1
2946,3,2,1,4,48,4,1,0,45,106,1
2947,4,2,0,1,97,1,2,1,63,1464,1
2948,0,2,3,1,102,1,1,0,43,1950,1
2949,1,2,1,4,111,2,1,0,44,1995,1
2950,2,2,4,0,140,2,1,0,9,981,1
2951,4,2,2,1,69,1,1,1,6,681,1
2952,3,2,1,2,66,1,1,1,2,672,1
2953,4,2,2,1,88,1,1,0,62,1890,1
2954,0,2,3,4,49,0,2,1,47,806,1
2955,1,2,1,2,132,0,2,1,26,1808,1
2956,2,2,3,4,117,0,0,1,11,1270,1
2957,4,2,0,1,50,1,2,0,0,158,1
2958,3,2,2,1,124,1,0,0,38,1235,1
2959,4,2,1,3,135,1,2,0,48,1789,1
2960,0,2,1,3,116,6,1,0,55,1728,1
2961,1,2,2,2,106,1,1,0,47,1097,1
2962,2,2,3,4,112,6,1,1,38,1485,1
2963,4,2,1,2,104,1,1,1,45,1236,1
2964,3,2,1,1,154,1,1,0,36,1393,1
2965,4,2,1,4,30,0,1,0,28,188,1
2966,0,2,2,0,126,2,2,0,41,1412,1
2967,1,2,4,1,140,2,1,0,60,1627,1
2968,2,2,2,2,69,1,1,1,3,466,1
2969,4,2,1,3,66,1,1,1,16,679,1
2970,3,2,2,2,88,1,1,0,36,1784,1
2971,4,2,3,2,49,0,2,1,5,928,1
2972,0,2,1,3,132,0,2,1,45,1715,1
2973,1,2,3,2,117,0,0,0,26,1296,1
2974,2,2,0,2,50,1,2,1,17,281,1
2975,4,2,2,0,124,1,0,1,1,2061,1
2976,3,2,1,3,135,1,2,1,38,2010,1
2977,4,2,1,3,116,6,1,0,33,1403,1
2978,0,2,2,4,106,1,1,0,37,1338,1
2979,1,2,3,1,112,6,1,1,61,1796,1
2980,2,2,1,2,104,1,1,1,3,2009,1
2981,4,2,1,0,154,1,1,0,7,1892,1
2982,3,2,1,4,30,0,1,0,62,137,1
2983,4,2,2,2,126,2,2,1,48,1945,1
2984,0,2,1,2,177,4,1,1,5,746,1
2985,1,2,4,4,65,2,2,0,19,327,1
2986,2,2,3,0,140,1,2,0,9,336,1
2987,4,1,4,2,185,3,2,0,7,834,1
2988,3,1,3,2,72,2,1,1,6,289,1
2989,4,1,3,0,110,2,1,1,61,133,1
2990,0,1,2,0,48,2,0,1,4,286,1
2991,1,1,3,2,143,3,2,0,18,1536,1
2992,2,1,1,4,33,1,2,0,51,495,1
2993,4,1,2,4,105,2,2,1,45,1824,1
2994,3,1,3,4,64,1,2,1,54,876,1
2995,4,1,4,4,34,4,1,0,59,934,1
2996,0,1,1,0,36,2,2,1,57,63,1
2997,1,1,2,1,89,2,2,0,35,1298,1
2998,2,1,3,0,175,2,1,0,3,1379,1
2999,4,1,3,1,72,0,2,1,19,520,1
3000,3,1,3,4,58,1,2,0,49,376,1
3001,4,1,1,2,107,1,1,1,3,1610,1
3002,0,1,1,0,178,1,1,1,3,1022,1
3003,1,1,3,3,184,2,1,0,18,1710,1
3004,2,1,2,4,100,0,1,1,50,1637,1
3005,4,1,3,1,63,1,2,0,62,654,1
3006,3,1,3,3,173,1,2,1,14,1270,1
3007,4,1,2,2,65,1,1,0,51,195,1
3008,0,1,1,0,63,0,2,0,43,779,1
3009,1,0,3,3,51,4,2,0,20,141,1
3010,2,0,1,2,118,0,2,0,3,1986,1
3011,4,0,2,4,61,2,2,0,11,35,1
3012,3,0,3,4,51,0,2,1,18,901,1
3013,4,0,3,3,86,1,2,0,10,1852,1
3014,0,0,1,4,92,0,1,0,11,1373,1
3015,1,0,1,0,8,0,1,1,0,20,1
3016,2,0,3,4,99,1,1,1,54,1333,1
3017,4,0,2,0,139,0,0,1,63,1032,1
3018,3,0,2,4,123,0,2,0,20,2031,1
3019,4,0,2,4,157,0,1,0,35,1761,1
3020,0,0,1,2,157,2,2,0,56,1253,1
3021,1,0,2,0,71,1,1,1,41,193,1
3022,2,0,2,1,115,0,1,0,38,1268,1
3023,4,0,1,3,59,1,2,1,3,529,1
3024,3,0,4,0,135,2,2,0,22,1232,1
3025,4,0,3,3,86,2,1,1,60,1578,1
3026,0,0,1,4,116,0,2,1,55,1854,1
3027,1,0,1,0,11,1,0,0,12,831,1
3028,2,0,3,1,76,2,0,0,60,157,1
3029,4,0,1,1,128,1,1,1,39,1073,1
3030,3,0,1,3,113,1,0,0,36,1916,1
3031,4,2,2,4,172,0,2,1,45,1587,1
3032,0,2,1,1,45,2,1,1,8,874,1
3033,1,2,2,3,164,0,1,1,16,1582,1
3034,2,2,3,3,55,2,2,1,9,425,1
3035,4,2,3,1,88,0,2,1,26,1700,1
3036,3,2,3,0,174,1,0,1,51,2073,1
3037,4,2,3,3,39,0,2,0,19,873,1
3038,0,2,2,2,180,2,1,0,2,2062,1
3039,1,2,2,3,81,1,2,1,22,138,1
3040,2,2,1,1,53,1,2,0,63,885,1
3041,4,2,2,2,124,2,1,1,18,1884,1
3042,3,2,2,4,171,1,1,0,52,1977,1
3043,4,2,1,1,178,1,2,0,49,2098,1
3044,0,2,2,3,147,1,1,1,9,1722,1
3045,1,2,3,0,70,0,1,1,43,626,1
3046,2,2,3,1,129,1,2,1,0,993,1
3047,4,2,1,2,42,0,2,0,39,113,1
3048,3,2,2,2,45,2,2,0,37,580,1
3049,4,2,1,3,175,2,2,0,15,1361,1
3050,0,2,4,4,147,1,2,0,34,1183,1
3051,1,2,1,2,135,1,2,1,52,1162,1
3052,2,2,3,3,72,1,1,1,33,754,1
3053,4,2,3,2,168,0,1,0,60,976,1
3054,3,2,2,2,137,1,2,1,25,1324,1
3055,4,2,2,1,151,3,2,0,16,1903,1
3056,0,2,1,3,80,1,1,0,3,91,1
3057,1,2,3,4,161,2,2,1,30,987,1
3058,2,2,1,0,51,2,1,1,17,593,1
3059,4,2,3,4,99,0,1,0,5,2085,1
3060,3,2,0,3,57,0,2,0,56,258,1
3061,4,2,1,4,141,2,1,1,27,2071,1
3062,0,2,4,3,121,3,1,0,6,1966,1
3063,1,2,3,0,44,2,2,1,47,312,1
3064,2,2,0,4,68,2,2,1,1,423,1
3065,4,2,1,2,147,1,2,0,26,994,1
3066,3,2,1,3,62,1,0,1,40,133,1
3067,4,2,3,4,84,2,0,1,9,196,1
3068,0,2,2,2,43,1,1,1,63,787,1
3069,1,2,2,3,66,0,2,1,7,373,1
3070,2,2,3,2,110,2,1,1,17,1605,1
3071,4,2,1,1,142,0,1,1,18,1083,1
3072,3,2,3,2,158,0,2,1,3,1709,1
3073,4,2,3,2,174,1,2,1,37,1926,1
3074,0,2,1,1,159,0,1,1,17,1970,1
3075,1,2,2,3,86,0,1,0,12,1725,1
3076,2,2,1,2,53,0,2,1,6,141,1
3077,4,2,2,0,125,3,2,1,21,1586,1
3078,3,2,2,4,39,0,1,1,59,24,1
3079,4,2,1,0,92,0,1,0,13,1013,1
3080,0,2,3,4,98,1,1,1,46,1122,1
3081,1,2,2,2,38,0,2,0,28,9,1
3082,2,2,1,3,114,0,2,1,28,1629,1
3083,4,2,2,1,73,0,1,1,21,312,1
3084,3,2,1,2,51,0,1,0,51,37,1
3085,4,2,2,0,117,1,1,0,20,1876,1
3086,0,2,1,1,127,0,1,1,63,1882,1
3087,1,2,2,0,137,0,2,0,59,1348,1
3088,2,2,2,1,122,0,0,1,0,1538,1
3089,4,2,2,4,123,1,2,1,26,1936,1
3090,3,2,1,1,49,0,1,0,43,208,1
3091,4,2,1,2,161,1,1,1,43,1750,1
3092,0,2,1,0,142,4,2,0,58,1755,1
3093,1,2,2,0,49,4,1,1,31,652,1
3094,2,2,2,3,147,1,1,0,35,1034,1
3095,4,2,2,3,83,0,1,1,17,356,1
3096,3,2,0,2,92,0,0,1,24,982,1
3097,4,2,2,3,72,1,2,1,52,757,1
3098,0,2,3,3,61,2,1,1,57,246,1
3099,1,2,1,3,76,1,1,1,31,907,1
3100,2,2,3,0,99,1,1,1,36,1941,1
3101,4,2,1,1,129,1,1,0,58,1818,1
3102,3,2,1,2,131,0,2,0,23,1402,1
3103,4,2,1,4,63,1,1,1,45,827,1
3104,0,2,0,1,177,1,1,1,55,1330,1
3105,1,2,3,1,118,4,1,0,2,1676,1
3106,2,2,2,1,79,1,2,0,33,4,1
3107,4,2,1,4,117,0,1,0,38,1458,1
3108,3,2,2,2,94,2,2,1,11,1611,1
3109,4,2,2,1,169,2,2,0,39,1331,1
3110,0,2,2,3,50,2,1,1,11,865,1
3111,1,2,3,3,133,0,2,0,43,1205,1
3112,2,2,1,4,99,1,2,0,46,1221,1
3113,4,2,0,4,55,1,1,1,33,631,1
3114,3,2,2,1,121,1,1,1,0,1622,1
3115,4,2,2,3,38,1,1,0,13,695,1
3116,0,2,1,4,99,0,1,0,41,2022,1
3117,1,2,2,2,46,2,1,1,28,404,1
3118,2,2,0,3,86,2,2,1,0,1898,1
3119,4,2,2,1,59,3,1,0,47,40,1
3120,3,2,1,4,142,0,2,0,33,1387,1
3121,4,2,2,0,86,1,2,0,48,1660,1
3122,0,2,2,0,141,2,2,0,21,1107,1
3123,1,2,2,3,126,1,1,0,23,1828,1
3124,2,1,3,3,81,0,2,0,44,643,1
3125,4,1,2,3,101,1,2,0,40,1704,1
3126,3,1,1,0,128,1,1,0,47,1929,1
3127,4,1,1,2,97,0,1,1,18,1599,1
3128,0,1,1,0,73,1,0,1,23,717,1
3129,1,1,1,3,152,0,2,0,14,1533,1
3130,2,1,4,4,150,2,2,1,49,1893,1
3131,4,1,2,0,136,1,2,1,54,1357,1
3132,3,1,1,4,155,1,1,0,20,1244,1
3133,4,1,1,3,67,1,2,1,57,427,1
3134,0,1,4,3,105,0,1,1,3,3947,1
3135,1,1,4,4,45,1,2,1,7,3111,0
3136,2,1,1,2,123,1,1,1,3,3982,0
3137,4,1,2,2,65,1,0,1,6,2360,0
3138,3,1,2,4,129,2,2,1,4,2720,0
3139,4,1,3,2,181,1,2,1,0,2302,1
3140,0,1,1,2,160,2,2,1,2,2828,0
3141,1,1,4,1,57,3,1,0,0,2697,1
3142,2,1,2,3,39,1,1,0,3,2748,1
3143,4,1,1,2,157,1,2,1,6,3163,0
3144,3,1,2,4,43,1,1,1,4,3396,0
3145,4,1,1,4,40,0,0,0,0,3054,0
3146,0,0,2,0,76,1,2,1,6,2969,0
3147,1,0,2,1,176,1,0,0,5,2660,0
3148,2,0,1,2,111,1,0,1,0,3679,1
3149,4,0,0,2,38,1,1,1,3,3984,0
3150,3,0,1,2,142,6,2,0,2,3027,0
3151,4,0,0,3,178,7,0,1,2,2283,1
3152,0,0,2,1,141,4,1,0,7,3739,0
3153,1,0,1,1,57,7,0,1,1,3508,0
3154,2,0,2,0,127,1,1,0,7,3057,1
3155,4,0,1,3,53,1,1,1,0,3120,1
3156,3,0,1,4,36,1,1,1,6,2135,1
3157,4,0,2,1,150,1,1,0,6,3663,0
3158,0,0,2,1,63,3,1,0,3,3600,1
3159,1,0,1,0,66,6,0,0,9,3484,0
3160,2,0,1,2,27,3,2,0,4,2406,0
3161,4,0,3,0,135,5,0,0,8,3610,0
3162,3,0,1,0,117,7,2,1,8,2949,0
3163,4,0,3,1,64,1,0,1,0,3867,0
3164,0,0,2,3,129,3,1,1,4,3139,1
3165,1,0,1,0,82,1,1,1,2,2903,0
3166,2,0,2,0,177,1,2,1,4,3134,0
3167,4,0,1,1,33,1,0,1,8,2453,1
3168,3,2,1,0,177,4,1,0,8,194,1
3169,4,2,4,2,65,2,2,1,7,241,0
3170,0,2,2,4,43,1,1,0,2,3857,1
3171,1,2,1,1,40,0,0,0,5,2124,1
3172,2,2,2,3,76,1,2,0,0,2317,0
3173,4,2,2,1,176,1,0,1,6,3957,0
3174,3,2,1,1,111,1,0,0,2,2994,1
3175,4,2,0,2,38,1,1,1,5,2552,1
3176,0,2,1,1,142,6,2,1,2,2499,1
3177,1,2,0,0,178,7,0,0,0,3669,0
3178,2,2,2,2,141,4,1,1,7,3636,0
3179,4,2,1,1,57,7,0,0,6,3368,0
3180,3,2,2,1,127,1,1,1,6,2147,1
3181,4,2,1,4,53,1,1,0,8,3468,0
3182,0,2,1,2,36,1,1,1,5,3764,1
3183,1,2,2,2,150,1,1,0,4,2806,0
3184,2,2,2,2,63,3,1,1,3,2763,1
3185,4,2,1,2,66,6,0,0,9,2930,0
3186,3,2,1,0,27,3,2,0,9,2346,0
3187,4,2,3,4,135,5,0,1,5,3794,0
3188,0,2,1,2,117,7,2,1,1,2935,0
3189,1,2,3,0,64,1,0,1,1,3215,1
3190,2,2,2,2,129,3,1,1,7,2311,0
3191,4,2,1,4,82,1,1,0,2,3593,0
3192,3,2,2,4,177,1,2,1,1,2485,0
3193,4,2,1,2,33,1,0,1,6,3268,1
3194,0,2,1,0,177,4,1,1,0,285,0
3195,1,2,4,3,65,2,2,1,2,723,1
3196,2,2,3,1,110,2,1,1,4,145,0
3197,4,2,2,4,200,0,2,1,0,657,0
3198,3,2,1,1,153,3,2,0,5,857,0
3199,4,2,2,3,205,3,1,1,5,896,0
3200,0,2,2,2,200,1,1,1,3,952,0
3201,1,2,1,4,109,2,1,1,1,627,0
3202,2,2,1,2,36,0,1,0,8,2466,1
3203,4,2,2,1,127,1,0,1,4,2397,0
3204,3,2,1,0,94,1,2,0,1,2425,0
3205,4,2,3,2,98,1,1,0,0,2443,0
3206,0,2,0,3,80,0,2,0,1,3212,0
3207,1,2,4,3,131,3,2,0,7,2499,0
3208,2,2,3,0,53,0,1,1,8,3490,0
3209,4,2,3,1,77,0,1,1,6,3869,0
3210,3,2,1,1,85,0,1,0,5,3467,0
3211,4,2,1,4,155,0,1,1,3,2137,0
3212,0,2,2,4,147,1,1,0,1,2994,0
3213,1,2,1,3,114,1,1,1,9,2509,1
3214,2,2,3,1,49,2,2,0,8,2149,0
3215,4,2,1,0,100,1,1,1,9,2647,0
3216,3,2,1,3,58,0,2,1,4,3776,1
3217,4,2,2,0,68,2,1,1,5,2542,1
3218,0,2,2,1,114,1,2,0,0,2490,1
3219,1,2,3,2,116,0,1,0,6,3287,0
3220,2,2,1,0,167,0,2,1,8,2955,1
3221,4,2,1,3,59,0,1,1,2,3534,1
3222,3,2,1,3,127,0,1,1,8,2327,0
3223,4,2,3,3,173,1,1,0,2,2593,0
3224,0,2,1,3,21,1,1,0,5,2166,0
3225,1,2,2,3,55,0,1,1,2,2223,1
3226,2,2,2,1,175,1,2,1,3,2838,1
3227,4,2,1,2,109,1,1,1,9,3757,0
3228,3,2,3,2,114,3,2,1,8,3486,1
3229,4,2,2,0,37,0,2,1,7,2392,0
3230,0,2,3,1,119,4,2,0,4,3266,1
3231,1,2,0,2,44,1,1,0,1,2787,0
3232,2,2,1,2,159,0,1,1,7,3981,1
3233,4,2,0,4,63,1,1,1,4,2306,0
3234,3,2,3,2,73,0,1,1,7,3413,1
3235,4,2,3,3,86,0,2,1,1,2655,1
3236,0,2,0,4,135,0,1,0,9,2517,1
3237,1,2,1,3,81,1,1,0,5,2553,0
3238,2,2,2,2,154,1,2,0,2,3134,1
3239,4,2,2,1,49,1,2,0,3,3197,1
3240,3,2,0,4,21,1,0,0,1,2383,1
3241,4,2,1,3,74,1,1,1,4,2812,1
3242,0,2,2,3,77,1,0,0,8,3440,1
3243,1,2,2,1,136,1,2,1,7,2755,1
3244,2,2,1,1,135,2,2,1,3,3563,0
3245,4,2,1,3,40,1,2,1,1,2626,1
3246,3,2,2,0,93,1,2,1,4,2600,1
3247,4,2,3,3,126,1,1,1,6,3401,0
3248,0,2,2,2,52,1,0,0,6,3114,1
3249,1,2,3,1,169,0,2,0,6,3517,1
3250,2,2,2,0,85,0,1,0,2,3909,0
3251,4,2,4,4,93,0,0,1,3,3929,1
3252,3,2,1,1,64,1,2,0,5,2900,1
3253,4,2,1,2,139,1,2,0,9,2302,0
3254,0,2,1,3,4,1,2,1,3,2307,0
3255,1,2,3,4,39,2,2,0,6,3803,1
3256,2,2,3,1,41,1,1,1,5,2969,0
3257,4,2,2,1,126,1,0,0,8,3398,0
3258,3,2,3,0,150,1,2,0,9,2198,1
3259,4,2,1,2,106,1,2,0,7,3539,1
3260,0,2,2,4,177,1,1,0,0,3123,1
3261,1,1,3,0,152,0,1,0,8,3912,1
3262,2,1,2,3,103,2,2,0,4,2310,0
3263,4,1,2,2,113,1,2,1,6,2222,1
3264,3,1,2,4,120,0,1,1,1,2990,0
3265,4,1,2,1,131,1,1,1,1,2431,1
3266,0,1,1,0,120,2,2,0,3,2527,0
3267,1,1,0,2,146,0,2,0,0,3923,1
3268,2,1,3,3,121,1,2,0,7,3032,1
3269,4,1,0,1,64,1,2,0,8,2711,0
3270,3,1,3,2,45,0,2,1,3,3323,0
3271,4,1,3,3,167,0,2,0,4,2695,0
3272,0,1,3,3,75,2,1,1,6,3419,1
3273,1,1,1,4,99,0,1,0,3,2951,0
3274,2,1,1,4,141,1,1,1,3,3613,1
3275,4,1,0,4,145,2,1,0,3,3737,1
3276,3,1,1,3,38,1,2,0,8,2345,1
3277,4,1,3,4,60,1,1,0,4,3455,1
3278,0,1,1,3,115,0,1,1,5,4025,0
3279,1,1,1,1,147,0,1,0,4,2863,0
3280,2,1,2,2,100,0,2,0,6,2233,1
3281,4,1,1,2,146,0,2,0,6,3043,0
3282,3,1,1,3,79,1,1,0,2,2556,0
3283,4,0,0,1,59,1,1,1,0,3226,0
3284,0,0,2,0,104,0,1,0,8,2900,1
3285,1,0,1,2,95,1,1,1,3,2686,0
3286,2,0,2,4,125,1,1,0,5,3926,0
3287,4,0,1,0,39,1,1,1,8,2615,0
3288,3,0,1,1,56,2,2,0,6,3972,1
3289,4,0,0,4,76,0,1,1,6,2746,0
3290,0,0,3,1,157,0,0,0,1,3689,1
3291,1,0,3,0,174,0,0,1,9,3420,0
3292,2,0,0,3,43,2,0,1,2,3121,0
3293,4,0,3,1,161,2,2,1,8,3166,0
3294,3,0,2,0,59,1,1,0,4,2398,1
3295,4,0,1,4,29,0,1,1,4,3018,1
3296,0,0,3,3,137,0,1,0,6,2697,1
3297,1,0,1,2,109,0,2,1,5,3071,1
3298,2,0,3,3,147,1,2,1,3,2531,1
3299,4,0,2,3,112,1,1,0,9,3004,0
3300,3,0,1,0,134,1,2,0,5,2503,0
3301,4,0,2,4,109,1,2,1,4,3032,1
3302,0,0,1,3,74,0,1,0,1,3710,0
3303,1,0,2,1,126,0,2,1,4,2383,0
3304,2,0,3,3,90,0,1,1,2,2329,0
3305,4,2,3,0,112,0,1,0,7,3286,0
3306,3,2,2,2,127,1,2,0,8,3928,0
3307,4,2,3,2,58,0,2,1,7,2128,0
3308,0,2,3,2,139,2,2,0,9,2133,0
3309,1,2,2,2,175,1,2,1,0,2253,0
3310,2,2,2,4,154,1,1,0,1,3274,0
3311,4,2,2,1,110,0,2,1,3,3231,0
3312,3,2,1,0,57,1,1,1,9,3196,1
3313,4,2,2,3,116,0,2,0,5,2234,1
3314,0,2,4,3,72,0,0,1,5,3730,0
3315,1,2,1,0,75,0,1,1,9,3437,1
3316,2,2,1,4,36,0,1,1,9,2569,1
3317,4,2,3,2,45,1,1,1,8,2944,0
3318,3,2,1,1,158,0,1,1,0,2446,0
3319,4,2,2,3,63,0,2,0,5,3289,0
3320,0,2,0,3,98,0,1,0,3,2895,1
3321,1,2,2,2,82,4,1,1,5,2319,0
3322,2,2,1,3,55,1,1,1,1,3755,1
3323,4,2,3,0,148,0,1,0,4,2241,1
3324,3,2,1,1,141,1,1,1,7,3352,1
3325,4,2,1,0,145,1,2,1,8,3255,0
3326,0,2,2,1,60,1,1,1,2,3953,0
3327,1,2,2,2,147,1,2,1,0,3101,0
3328,2,2,3,4,123,0,2,1,3,2403,0
3329,4,2,2,4,72,0,0,1,1,3813,0
3330,3,2,4,2,128,4,0,1,7,3707,0
3331,4,2,2,3,120,0,2,1,1,3873,1
3332,0,2,1,0,91,3,1,0,5,2794,0
3333,1,2,3,2,108,1,0,0,0,2158,1
3334,2,2,4,4,170,3,1,1,9,2256,0
3335,4,2,1,3,83,0,1,0,1,3016,1
3336,3,2,1,3,88,1,1,1,9,2869,0
3337,4,2,4,1,108,2,2,0,1,2541,0
3338,0,2,1,3,159,0,2,0,6,2444,1
3339,1,2,2,0,176,0,2,0,4,3318,0
3340,2,2,2,2,90,0,1,1,6,3030,1
3341,4,2,3,3,51,2,2,1,5,2480,0
3342,3,2,1,3,49,1,2,1,3,3421,1
3343,4,2,3,0,159,1,2,0,5,3758,0
3344,0,2,1,3,37,0,1,0,6,2760,0
3345,1,2,2,0,59,2,1,0,0,3068,0
3346,2,2,2,4,55,2,2,1,9,2888,0
3347,4,2,2,1,174,0,0,0,2,2999,1
3348,3,2,1,0,138,2,0,1,5,3026,0
3349,4,2,1,4,90,0,2,1,3,2463,0
3350,0,2,2,4,61,0,2,1,5,3966,0
3351,1,2,2,3,172,1,1,1,6,3975,0
3352,2,2,2,2,148,0,1,1,9,2590,1
3353,4,2,2,4,94,1,1,1,1,2655,0
3354,3,2,2,3,65,2,1,1,4,3118,0
3355,4,2,0,3,66,1,0,0,1,3924,1
3356,0,2,2,2,67,6,2,0,5,3780,0
3357,1,2,1,2,115,4,1,1,4,3814,1
3358,2,2,1,3,109,6,2,1,0,3060,1
3359,4,2,1,4,54,1,2,0,3,2550,1
3360,3,2,0,4,113,3,2,0,9,2721,1
3361,4,2,3,1,154,1,2,0,5,3362,0
3362,0,2,1,1,110,1,0,0,0,2541,1
3363,1,2,3,1,148,1,1,1,1,2314,0
3364,2,2,0,0,84,1,1,1,1,2713,1
3365,4,2,2,3,160,1,2,1,0,3821,1
3366,3,2,3,3,177,1,2,0,1,3718,1
3367,4,2,2,0,82,6,2,0,5,2958,0
3368,0,2,2,1,200,0,2,0,1,228,0
3369,1,2,1,2,153,3,2,0,8,728,0
3370,2,2,2,4,55,2,2,1,2,3523,0
3371,4,2,2,2,174,0,0,0,4,3407,0
3372,3,2,1,1,138,2,0,0,6,2668,1
3373,4,2,1,3,90,0,2,0,8,3874,0
3374,0,2,2,0,61,0,2,1,2,3835,0
3375,1,2,2,1,172,1,1,0,2,3541,1
3376,2,2,2,0,148,0,1,0,2,2741,1
3377,4,2,2,3,94,1,1,1,1,2892,0
3378,3,2,2,1,65,2,1,0,9,3383,0
3379,4,2,0,1,66,1,0,1,9,2593,1
3380,0,2,2,0,67,6,2,0,8,3542,1
3381,1,2,1,1,115,4,1,0,1,2528,0
3382,2,2,1,3,109,6,2,0,4,2956,1
3383,4,2,1,2,54,1,2,1,3,3589,0
3384,3,2,0,4,113,3,2,0,8,3616,0
3385,4,2,3,2,154,1,2,1,3,2454,0
3386,0,2,1,0,110,1,0,0,7,2857,1
3387,1,2,3,4,148,1,1,1,8,3739,0
3388,2,2,0,1,84,1,1,1,1,3113,1
3389,4,2,2,4,160,1,2,1,9,2608,1
3390,3,2,3,3,177,1,2,1,5,2164,1
3391,4,2,2,1,82,6,2,1,4,2237,1
3392,0,2,2,2,200,0,2,0,8,505,1
3393,1,2,2,1,179,4,2,1,1,691,1
3394,2,2,3,4,174,1,1,1,1,2462,1
3395,4,2,4,4,128,2,2,1,5,2714,0
3396,3,2,0,3,76,3,1,1,3,2765,0
3397,4,2,2,3,80,1,1,0,0,2867,0
3398,0,1,4,1,144,2,1,1,8,2218,0
3399,1,1,1,3,117,1,1,0,4,2637,1
3400,2,1,2,1,101,1,1,0,1,3751,0
3401,4,1,2,4,71,0,1,0,6,2403,1
3402,3,1,3,0,84,1,1,0,1,3094,1
3403,4,1,1,0,23,0,1,0,9,2262,1
3404,0,1,3,4,136,2,1,1,2,3501,0
3405,1,1,1,4,43,0,2,1,6,3589,0
3406,2,1,1,1,176,1,1,1,1,2566,1
3407,4,1,1,1,157,1,1,0,6,3000,0
3408,3,1,1,1,92,1,1,1,3,3435,0
3409,4,1,1,3,106,1,2,1,4,3240,0
3410,0,1,1,0,38,1,1,0,6,3836,1
3411,1,1,1,4,14,1,2,1,2,2367,1
3412,2,1,1,1,76,0,1,0,8,2634,1
3413,4,1,1,0,92,1,1,1,2,2338,0
3414,3,1,1,0,162,2,2,0,5,3425,1
3415,4,1,3,2,138,1,1,1,9,3719,0
3416,0,1,1,3,52,2,2,0,8,3365,0
3417,1,1,3,2,98,2,1,0,1,3453,0
3418,2,1,2,3,170,1,2,0,1,3469,1
3419,4,1,3,4,62,1,2,1,6,3611,1
3420,3,0,3,0,132,0,0,1,5,3067,1
3421,4,0,2,4,63,0,1,1,0,3717,0
3422,0,0,1,3,159,2,1,1,9,2225,0
3423,1,0,1,3,117,1,1,0,3,3534,1
3424,2,0,1,3,52,0,1,0,4,2789,1
3425,4,0,2,4,123,1,2,1,5,3983,1
3426,3,0,1,4,72,3,2,1,8,3773,1
3427,4,0,2,2,52,3,2,0,5,2894,0
3428,0,0,1,3,53,1,1,0,4,3520,0
3429,1,0,1,4,149,4,0,1,8,2885,0
3430,2,0,1,0,104,0,2,1,9,3249,1
3431,4,0,1,0,132,1,2,1,8,3583,0
3432,3,0,2,0,79,2,1,1,1,2173,0
3433,4,0,1,2,105,1,1,1,8,3926,1
3434,0,0,2,2,171,2,1,1,6,3214,0
3435,1,0,1,3,121,0,2,0,8,3504,0
3436,2,0,0,2,64,0,0,1,2,2520,0
3437,4,0,2,3,168,1,1,0,1,2394,1
3438,3,0,1,0,83,1,0,1,4,3929,1
3439,4,0,2,4,163,1,2,1,9,3006,1
3440,0,0,2,4,82,0,0,1,4,3460,0
3441,1,0,1,1,146,3,2,1,5,2790,0
3442,2,2,2,3,139,0,1,1,3,3717,0
3443,4,2,2,0,151,0,2,0,6,3176,0
